cluster,jumlah_titik,lat_center,lon_center,avg_frp,avg_brightness,nama_daerah
0,2074,-2.515034763741562,103.13746378977821,26.53317261330762,321.25583413693346,Rawas Ilir
1,148,-1.3274459459459458,101.67252094594595,27.11216216216216,319.00067567567567,Dharmasraya
2,675,-0.9071238518518517,102.11567274074075,24.279111111111114,319.3502222222222,Batang Cenaku
3,569,-0.19141370826010545,102.40938681898066,37.85254833040422,321.8694200351494,Indragiri Hulu
4,1368,-0.2675029239766082,102.90477302631578,33.01630116959065,319.47499999999997,Indragiri Hilir
5,123,-2.117347967479675,102.17159105691057,16.50081300813008,318.5959349593496,Merangin
6,215,-0.8759897674418604,101.65744325581394,20.98186046511628,317.2627906976744,Dharmasraya
7,87,-2.295516091954023,102.60386091954024,15.325287356321839,318.99655172413793,Sarolangun
8,6,-1.3794666666666666,101.89553333333333,8.016666666666667,314.05,Bungo
9,99,-2.860548484848485,101.54426262626262,20.44040404040404,320.84343434343435,Mukomuko
10,21,-2.1999238095238094,101.62667619047618,18.01904761904762,314.8666666666667,Kerinci
11,20,-2.1753,101.79841,11.785,316.325,Kerinci
12,25,-0.319048,103.646048,14.332,313.652,Indragiri Hilir
13,184,-2.421115760869565,102.09017663043478,22.636413043478264,319.75923913043476,Merangin
14,454,-0.8371812775330397,102.92248744493392,23.014977973568282,318.7984581497797,Indragiri Hilir
15,17,-0.18464705882352941,104.63672352941177,21.058823529411764,318.1235294117647,Lingga
16,160,-0.48786562499999997,102.551094375,23.2925,317.680625,Indragiri Hulu
17,518,-0.16854420849420848,101.76968687258687,26.219884169884168,321.40849420849423,Pelalawan
18,5663,-1.6298155394667138,104.00243323326859,103.09929366060393,333.8645947377715,Muaro Jambi
19,81,-1.0724888888888888,103.39155802469136,14.61111111111111,316.15185185185186,Tanjung Jabung Barat
20,61,-2.096722950819672,103.86268524590164,27.272131147540982,319.7114754098361,Bayung Lencir
21,1282,-1.463445553822153,104.3521031201248,51.2801872074883,329.548751950078,Tanjung Jabung Timur
22,111,-0.9311990990990991,103.15333603603604,12.344144144144144,314.85225225225224,Tanjung Jabung Barat
23,10,-1.92289,102.551,18.259999999999998,320.98,Sarolangun
24,73,-2.674332876712329,104.07846712328768,16.493150684931507,317.16301369863015,Babat Supat
25,9,-2.2380555555555555,104.61793333333334,11.944444444444445,315.2111111111111,Musi Banyuasin
26,49,-2.675408163265306,103.67972857142857,20.16938775510204,320.1265306122449,Batanghari Leko
27,35,-0.8222428571428572,103.46365142857144,9.931428571428572,314.62571428571425,Tanjung Jabung Barat
28,23,-0.5610217391304347,104.37523913043479,15.4,314.97391304347826,Lingga
29,23,-2.974886956521739,101.75171304347826,16.982608695652175,318.1173913043478,Mukomuko
30,228,-1.1074570175438596,102.7871600877193,22.056140350877193,316.8671052631579,Tanjung Jabung Barat
31,6,-2.083816666666667,102.52505000000001,12.200000000000001,320.1666666666667,Merangin
32,23,-1.8132695652173911,102.35937826086956,16.108695652173914,315.53043478260867,Merangin
33,7,-2.9684999999999997,104.22167142857143,20.714285714285715,318.2,Banyuasin
34,33,-1.2308575757575757,102.55164545454545,26.13939393939394,320.0151515151515,Tebo
35,8,-1.650975,103.7164,11.887500000000001,312.2125,Muaro Jambi
36,10,-2.28829,103.93730000000001,6.45,307.35,Tungkal Jaya
37,215,-0.5495306976744186,102.67416279069768,43.172558139534885,320.93302325581396,Indragiri Hulu
38,43,-0.4655441860465116,103.06554418604651,13.532558139534883,313.8,Indragiri Hilir
39,31,-0.9634677419354839,102.58479677419355,22.351612903225806,317.2483870967742,Kemuning
40,432,-2.40750625,104.31243958333333,28.043518518518518,319.7405092592592,Tungkal Ilir
41,57,-0.5604035087719299,103.05371578947369,21.989473684210527,315.35263157894735,Enok
42,22,-2.464431818181818,103.76933636363637,16.009090909090908,320.2409090909091,Tungkal Jaya
43,53,-2.737722641509434,104.41191509433963,29.258490566037736,322.05094339622644,Suak Tapeh
44,49,-0.6512061224489796,102.98869591836736,19.224489795918366,314.9469387755102,Indragiri Hilir
45,6,-0.2561333333333333,103.41616666666665,13.35,317.8833333333333,Indragiri Hilir
46,80,-2.8428125,104.60397250000001,22.73125,319.29625,Banyuasin
47,26,-0.06451923076923077,102.61689615384616,18.842307692307692,316.7653846153846,Indragiri Hulu
48,121,-2.9770909090909092,104.01883388429752,28.764462809917354,317.93471074380165,Musi Banyuasin
49,75,-2.7409559999999997,104.27481466666667,36.17333333333333,319.73466666666667,Pulau Rimau
50,59,-2.6822711864406776,102.41630169491526,44.2728813559322,328.6135593220339,Sarolangun
51,11,-2.351390909090909,104.11620909090908,28.29090909090909,315.44545454545454,Bayung Lencir
52,28,-2.4643714285714284,104.63641785714286,13.385714285714286,319.2,Pulau Rimau
53,5,-1.1693799999999999,103.34276,7.24,307.21999999999997,Tanjung Jabung Barat
54,54,-1.8705537037037037,103.21282037037037,19.33703703703704,319.762962962963,Batang Hari
55,13,-2.2184076923076925,103.80960769230768,10.46923076923077,310.13846153846157,Tungkal Jaya
56,18,-2.3783499999999997,102.92875555555555,25.466666666666665,320.28333333333336,Nibung
57,8,-1.5589625,102.24675,16.0625,316.55,Bungo
58,10,-1.68098,102.83809000000001,23.44,315.23,Batang Hari
59,9,-0.05881111111111111,104.58274444444444,33.17777777777778,325.20000000000005,Lingga
60,5,-1.079,101.91875999999999,11.22,319.02,Tebo
61,9,-1.954411111111111,101.74242222222223,14.91111111111111,316.68888888888887,Merangin
62,15,-1.60336,101.79477333333334,9.9,314.78,Bungo
63,30,-2.8455500000000002,103.75636666666666,13.19,317.93666666666667,Musi Banyuasin
64,50,-0.588396,102.824154,14.084000000000001,315.76,Indragiri Hilir
65,13,-2.4069846153846153,102.35886923076924,33.284615384615385,326.6769230769231,Sarolangun
66,7,-0.2071285714285714,103.18548571428572,10.028571428571428,313.6714285714285,Batang Tuaka
67,34,-1.416235294117647,102.7868205882353,24.741176470588233,319.6088235294118,Tebo
68,49,-2.1043285714285713,103.25528775510205,21.214285714285715,316.90816326530614,Batang Hari
69,68,-0.6087794117647058,103.19640147058824,49.088235294117645,331.8235294117647,Indragiri Hilir
70,52,-1.7940634615384616,102.753675,44.05769230769231,326.70384615384614,Batang Hari
71,6,-1.6813333333333331,102.05396666666667,10.333333333333334,316.90000000000003,Bungo
72,10,-2.9133400000000003,102.64770000000001,13.66,317.43,Musi Rawas Utara
73,9,-1.1143333333333334,102.40234444444444,28.200000000000003,320.2111111111111,Tebo
74,8,-0.07339999999999999,103.29455,8.875,311.8375,Indragiri Hilir
75,8,-2.2733125,103.6593125,64.85,343.5125,Tungkal Jaya
76,28,-1.7857571428571428,102.97992142857143,18.732142857142858,320.0571428571429,Batang Hari
77,43,-1.1593581395348838,103.58007209302326,30.065116279069766,318.07209302325583,Tanjung Jabung Timur
78,7,-1.5120142857142855,102.97102857142856,20.957142857142856,318.5142857142857,Batang Hari
79,7,-1.6296,102.68655714285714,26.12857142857143,326.90000000000003,Tebo
80,14,-0.1715142857142857,103.38178571428571,13.242857142857144,311.7214285714286,Indragiri Hilir
81,5,-2.13998,103.57685999999998,23.74,317.68,Bayung Lencir
82,11,-1.8408545454545455,102.21192727272728,11.345454545454546,318.1818181818182,Merangin
83,9,-1.700322222222222,101.80593333333334,14.91111111111111,316.82222222222225,Bungo
84,6,-1.88445,104.37876666666666,13.883333333333333,313.98333333333335,Banyuasin
85,7,-2.782442857142857,103.4692857142857,40.75714285714286,335.5285714285714,Sanga Desa
86,8,-0.655775,101.5374625,13.387500000000001,320.7,Kuantan Singingi
87,9,-2.249766666666667,102.82857777777778,11.0,316.27777777777777,Sarolangun
88,8,-2.4009875,102.7619875,16.05,320.7625,Sarolangun
89,37,-2.695737837837838,103.50095135135135,15.391891891891891,309.6621621621622,Sanga Desa
90,5,-1.6159399999999997,102.55078,6.840000000000001,312.65999999999997,Tebo
91,23,-0.7031,102.34740000000001,17.169565217391302,313.41739130434786,Batang Cenaku
92,5,-2.8756,102.59241999999999,41.06,315.96,Musi Rawas Utara
93,6,-1.7473666666666665,102.45150000000001,30.349999999999998,321.93333333333334,Merangin
94,8,-2.97215,104.5406875,7.1625,308.0625,Banyuasin
