latitude,longitude,brightness,frp,confidence,acq_date,acq_time,satellite,daynight,year,month,month_name,year_month,cluster,cluster_label
-2.777,102.8335,308.8,5.7,54,2018-01-15,341,Terra,D,2018,1,January,2018-01,0,Kluster 0
-2.362,103.0525,347.0,60.3,94,2018-01-15,636,Aqua,D,2018,1,January,2018-01,0,Kluster 0
-2.6376,102.8868,309.4,6.2,45,2018-01-15,636,Aqua,D,2018,1,January,2018-01,0,Kluster 0
-2.6391,102.8766,311.6,8.3,49,2018-01-15,636,Aqua,D,2018,1,January,2018-01,0,Kluster 0
-1.407,101.6548,314.0,15.2,63,2018-01-15,636,Aqua,D,2018,1,January,2018-01,1,Kluster 1
-0.9768,102.226,343.2,56.6,93,2018-01-15,637,Aqua,D,2018,1,January,2018-01,2,Kluster 2
-0.9784,102.2153,344.2,59.8,93,2018-01-15,637,Aqua,D,2018,1,January,2018-01,2,Kluster 2
-0.9215,101.9015,311.2,8.2,68,2018-01-15,637,Aqua,D,2018,1,January,2018-01,2,Kluster 2
-0.1801,102.3849,317.8,21.3,30,2018-01-18,707,Aqua,D,2018,1,January,2018-01,3,Kluster 3
-0.3157,102.7126,318.0,25.1,48,2018-01-18,707,Aqua,D,2018,1,January,2018-01,4,Kluster 4
-0.1733,102.9799,319.3,24.7,40,2018-01-18,707,Aqua,D,2018,1,January,2018-01,4,Kluster 4
-2.0049,102.0621,315.8,10.5,72,2018-01-22,642,Aqua,D,2018,1,January,2018-01,5,Kluster 5
-0.8698,101.6467,310.0,18.4,46,2018-01-25,713,Aqua,D,2018,1,January,2018-01,6,Kluster 6
-1.8649,101.5118,309.8,11.2,65,2018-01-27,701,Aqua,D,2018,1,January,2018-01,-1,Noise/Outlier
-1.8664,101.5011,308.6,9.4,46,2018-01-27,701,Aqua,D,2018,1,January,2018-01,-1,Noise/Outlier
-1.1291,101.5992,360.2,112.4,100,2018-01-27,701,Aqua,D,2018,1,January,2018-01,1,Kluster 1
-2.2674,102.6987,315.8,7.2,69,2018-01-29,649,Aqua,D,2018,1,January,2018-01,7,Kluster 7
-1.5915,101.7065,317.2,8.7,71,2018-01-29,649,Aqua,D,2018,1,January,2018-01,62,Kluster 62
-1.3809,101.8913,316.8,7.5,70,2018-01-29,649,Aqua,D,2018,1,January,2018-01,8,Kluster 8
-0.9726,102.3003,323.2,15.9,78,2018-01-29,649,Aqua,D,2018,1,January,2018-01,2,Kluster 2
-0.8873,101.6742,331.2,23.0,82,2018-01-29,649,Aqua,D,2018,1,January,2018-01,6,Kluster 6
-2.799,101.5578,316.1,8.8,72,2018-01-29,649,Aqua,D,2018,1,January,2018-01,9,Kluster 9
-2.8003,101.5488,316.4,8.9,69,2018-01-29,649,Aqua,D,2018,1,January,2018-01,9,Kluster 9
-2.4509,101.8738,327.9,25.0,82,2018-01-29,649,Aqua,D,2018,1,January,2018-01,-1,Noise/Outlier
-2.2632,101.6366,315.0,7.9,46,2018-01-29,649,Aqua,D,2018,1,January,2018-01,10,Kluster 10
-2.2645,101.6277,326.4,19.6,80,2018-01-29,649,Aqua,D,2018,1,January,2018-01,10,Kluster 10
-2.2299,101.7409,316.1,9.5,45,2018-01-29,649,Aqua,D,2018,1,January,2018-01,11,Kluster 11
-2.0427,102.1541,309.8,5.1,51,2018-01-29,649,Aqua,D,2018,1,January,2018-01,5,Kluster 5
-0.2967,103.6546,305.5,8.8,65,2018-01-30,1519,Terra,N,2018,1,January,2018-01,12,Kluster 12
-0.0335,102.9927,317.9,10.0,69,2018-01-31,340,Terra,D,2018,1,January,2018-01,4,Kluster 4
-0.0348,103.0017,315.6,8.1,65,2018-01-31,340,Terra,D,2018,1,January,2018-01,4,Kluster 4
-0.0692,103.0457,314.3,5.7,52,2018-01-31,340,Terra,D,2018,1,January,2018-01,4,Kluster 4
-0.298,103.6587,315.5,7.1,54,2018-01-31,340,Terra,D,2018,1,January,2018-01,12,Kluster 12
-0.8385,101.6444,316.7,9.7,57,2018-01-31,341,Terra,D,2018,1,January,2018-01,6,Kluster 6
