year,month,month_name,year_month,count
2018,1,January,2018-01,66
2018,2,February,2018-02,58
2018,3,March,2018-03,13
2018,4,April,2018-04,13
2018,5,May,2018-05,35
2018,6,June,2018-06,47
2018,7,July,2018-07,148
2018,8,August,2018-08,249
2018,9,September,2018-09,388
2018,10,October,2018-10,144
2018,11,November,2018-11,13
2018,12,December,2018-12,13
2019,1,January,2019-01,11
2019,2,February,2019-02,24
2019,3,March,2019-03,102
2019,4,April,2019-04,29
2019,5,May,2019-05,98
2019,6,June,2019-06,44
2019,7,July,2019-07,372
2019,8,August,2019-08,1922
2019,9,September,2019-09,7793
2019,10,October,2019-10,1995
2019,11,November,2019-11,185
2019,12,December,2019-12,14
2020,1,January,2020-01,26
2020,2,February,2020-02,19
2020,3,March,2020-03,51
2020,4,April,2020-04,50
2020,5,May,2020-05,39
2020,6,June,2020-06,28
2020,7,July,2020-07,34
2020,8,August,2020-08,53
2020,9,September,2020-09,20
2020,10,October,2020-10,32
2020,11,November,2020-11,11
2020,12,December,2020-12,31
2021,1,January,2021-01,9
2021,2,February,2021-02,37
2021,3,March,2021-03,30
2021,4,April,2021-04,37
2021,5,May,2021-05,27
2021,6,June,2021-06,52
2021,7,July,2021-07,137
2021,8,August,2021-08,44
2021,9,September,2021-09,39
2021,10,October,2021-10,46
2021,11,November,2021-11,43
2021,12,December,2021-12,8
2022,1,January,2022-01,18
2022,2,February,2022-02,9
2022,3,March,2022-03,95
2022,4,April,2022-04,12
2022,5,May,2022-05,73
2022,6,June,2022-06,39
2022,7,July,2022-07,67
2022,8,August,2022-08,57
2022,9,September,2022-09,25
2022,10,October,2022-10,7
2022,11,November,2022-11,15
2022,12,December,2022-12,7
2023,1,January,2023-01,13
2023,2,February,2023-02,11
2023,3,March,2023-03,16
2023,4,April,2023-04,36
2023,5,May,2023-05,49
2023,6,June,2023-06,47
2023,7,July,2023-07,51
2023,8,August,2023-08,111
2023,9,September,2023-09,596
2023,10,October,2023-10,758
2023,11,November,2023-11,86
2023,12,December,2023-12,31
